PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA,include?,Language1,Language2,Language3,Language4,within/between,materials,comments
J,"Kornrumpf, B; Dimigen, O; Sommer, W",,,,"Kornrumpf, Benthe; Dimigen, Olaf; Sommer, Werner",,,Lateralization of posterior alpha EEG reflects the distribution of spatial attention during saccadic reading,PSYCHOPHYSIOLOGY,,,,,,,,,,,,"Visuospatial attention is an important mechanism in reading that governs the uptake of information from foveal and parafoveal regions of the visual field. However, the spatiotemporal dynamics of how attention is allocated during eye fixations are not completely understood. The current study explored the use of EEG alpha-band oscillations to investigate the spatial distribution of attention during reading. We reanalyzed two data sets, focusing on the lateralization of alpha activity at posterior scalp sites. In each experiment, participants read short lists of German nouns in two paradigms: either by freely moving their eyes (saccadic reading) or by fixating the screen center while the text moved passively from right to left at the same average speed (RSVP paradigm). In both paradigms, upcoming words were either visible or masked, and foveal processing load was manipulated by varying the words' lexical frequencies. Posterior alpha lateralization revealed a sustained rightward bias of attention during saccadic reading, but not in the RSVP paradigm. Interestingly, alpha lateralization was not influenced by word frequency (foveal load) or preview during the preceding fixation. Hence, alpha did not reflect transient attention shifts within a given fixation. However, in both experiments, we found that in the saccadic reading condition a stronger alpha lateralization shortly before a saccade predicted shorter fixations on the subsequently fixated word. These results indicate that alpha lateralization can serve as a measure of attention deployment and its link to oculomotor behavior in reading.",,,,"Sommer, Werner/H-4672-2011; Sommer, Werner/N-1945-2019","Sommer, Werner/0000-0001-5266-3445; Sommer, Werner/0000-0001-5266-3445",,,,,,,,,,,,0048-5772,1469-8986,,,,JUN,2017,54,6,,,,,809,823,,10.1111/psyp.12849,,,,,,,WOS:000401012000002,28240816,,,,,Yes,German,,,,,word lists,with ERPs; gaze contingent
J,"Fang, L; Sanchez, A; Koster, EHW",,,,"Fang, Lin; Sanchez, Alvaro; Koster, Ernst H. W.",,,Testing the attentional scope model of rumination: An eye-tracking study using the moving window paradigm,BIOLOGICAL PSYCHOLOGY,,,,,,,,,,,,"The attentional scope model of rumination predicts that rumination is associated with a narrowed attentional scope which magnifies emotional responding and reduces problem-solving. This study examined this prediction by using a moving window paradigm, allowing for a more direct measurement of attentional scope at a perceptual level. High and low trait ruminators were asked to read self-related and other-related sentences under small, medium, large, and no moving window conditions while their visual fixations during reading were recorded. Results showed significant group differences in the small window size condition, with the high rumination group processing faster and making fewer fixations when reading the sentences. Further analyses confirmed that differences remained after controlling for mood state and the level of depression. These findings indicate that people with high levels of trait rumination are characterized by a narrower attentional scope when processing information. Clinical implications in relation to rumination are discussed. (C) 2016 Elsevier B.V. All rights reserved.",,,,"Sanchez, Alvaro/A-1464-2017; Lopez, Alvaro Sanchez/H-2919-2019","Sanchez, Alvaro/0000-0003-2815-7803; Koster, Ernst/0000-0003-0792-476X",,,,,,,,,,,,0301-0511,1873-6246,,,,FEB,2017,123,,,,,,278,285,,10.1016/j.biopsycho.2016.10.011,,,,,,,WOS:000394068300029,27794448,,,,,Yes,Dutch,,,,,sentences,gaze contingent
J,"Li, T; Wang, Y; Tong, XH; McBride, C",,,,"Li, Tong; Wang, Ying; Tong, Xiuhong; McBride, Catherine",,,A Developmental Study of Chinese Children's Word and Character Reading,JOURNAL OF PSYCHOLINGUISTIC RESEARCH,,,,,,,,,,,,"To investigate the relationship between Chinese children's character and word reading, 62 third and 50 fifth grade children in Hong Kong were asked to read single characters and words that were comprised of these characters. Results showed that words helped children to recognize characters for both grades of children. Compared to older children, younger children's character reading was more likely to rely on the word that the character appeared in as a component; younger children made more errors in confusing the correct character with words related to it. Younger children's greater rate of meaning-related errors also underscored the role of the word in their character learning. This study confirmed the important role of words in children's character learning, and provided evidence for a developmental pattern of character and word reading in Chinese.",,,,,"Tong, Xiuhong/0000-0002-2934-5278",,,,,,,,,,,,0090-6905,1573-6555,,,,FEB,2017,46,1,,,,,141,155,,10.1007/s10936-016-9429-z,,,,,,,WOS:000394271900009,27059992,,,,,No,,,,,,,
J,"Nikolova, M; Jainta, S; Blythe, HI; Liversedge, SP",,,,"Nikolova, Mirela; Jainta, Stephanie; Blythe, Hazel I.; Liversedge, Simon P.",,,Using a Dichoptic Moving Window Presentation Technique to Investigate Binocular Advantages During Reading,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,,,,,,,,,,,,"Reading comes with a clear binocular advantage, expressed in shorter fixation times and fewer regressions in binocular relative to monocular visual presentations. Little is known, however, about whether the cost associated with monocular viewing derives primarily from the encoding of foveal information or in obtaining a preview benefit from upcoming parafoveal text. In the present sentence reading eye tracking experiment, the authors used a novel dichoptic binocular gaze-contingent moving window technique to selectively manipulate the amount of text made available to the reader both binocularly and monocularly in the fovea and parafovea on a fixation-by-fixation basis. This technique allowed the authors to quantify disruption to reading caused by prevention of binocular fusion during direct fixation of words and parafoveal preprocessing of upcoming text. Sentences were presented (a) binocularly; (b) monocularly; (c) with monocular text to the left of fixation; (d) with monocular text to the right of fixation; or (e) with all words other than the fixated word presented binocularly. A robust binocular advantage occurred for average fixation duration and regressions. Also, while there was a limited cost associated with monocular foveal processing, the restriction of parafoveal processing to monocular information was particularly disruptive. The findings demonstrate the critical importance of a unified binocular input for the efficient preprocessing text to the right of fixation.",,,,,,,,,,,,,,,,,0096-1523,1939-1277,,,,FEB,2017,43,2,,,,,265,280,,10.1037/xhp0000296,,,,,,,WOS:000395033600005,27819454,,,,,Yes,English,,,,,sentences,gaze contingent
J,"White, SJ; Lantz, LMT; Paterson, KB",,,,"White, Sarah J.; Lantz, Laura M. T.; Paterson, Kevin B.",,,Spontaneous Rereading Within Sentences: Eye Movement Control and Visual Sampling,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,,,,,,,,,,,,"Three experiments examine the role of previously read text in sentence comprehension and the control of eye movements during spontaneous rereading. Spontaneous rereading begins with a regressive saccade and involves reinspection of previously read text. All 3 experiments employed the gaze-contingent change technique to modulate the availability of previously read text. In Experiment 1, previously read text was permanently masked either immediately to the left of the fixated word (beyond word(n-1)) or more than 1 word to the left (beyond word(n-1)). The results of Experiment 1 indicate that the availability of the word immediately to the left (word(n-1)) is important for comprehension. Experiments 2 and 3 further explored the role of previously read text beyond word(n-1). In these studies, text beyond word(n-1) was replaced, retaining only word length information, or word length and shape information. Following a regression back within a sentence, meaningful text either reappeared or remained unavailable during rereading. The experiments show that the visual format of text beyond word(n-1) (the parafoveal postview) is important for triggering regressions. The results also indicate that, as least for more complex sentences, the availability of meaningful text is important in driving eye movement control during rereading.",,,,"White, Sarah J/L-8411-2016","White, Sarah J/0000-0003-3943-7149",,,,,,,,,,,,0096-1523,1939-1277,,,,FEB,2017,43,2,,,,,395,413,,10.1037/xhp0000307,,,,,,,WOS:000395033600015,27893273,,,,,Yes,English,,,,,sentences,gaze contingent
J,"Ferstl, EC; Israel, L; Putzar, L",,,,"Ferstl, Evelyn C.; Israel, Laura; Putzar, Lisa",,,Humor Facilitates Text Comprehension: Evidence from Eye Movements,DISCOURSE PROCESSES,,,,,,,,,,,,"One crucial property of verbal jokes is that the punchline usually contains an incongruency that has to be resolved by updating the situation model representation. In the standard pragmatic model, these processes are considered to require cognitive effort. However, only few studies compared jokes to texts requiring a situation model revision without being funny. In the present study participants' eye movements were recorded while they read short texts falling into four categories: jokes, texts that made a revision of the situation model necessary without being funny (revision texts), and two types of control texts. Jokes were read faster and elicited fewer regressive eye movements than the other text categories. Women were more sensitive to revision and inference demands of nonhumorous texts than men, and this was particularly the case when the instructions required a meta-linguistic evaluation. In contrast to the predictions of the two-stage model of pragmatics, humor appreciation facilitated text comprehension, and this effect was more pronounced for men than for women.",,,,,,,,,,,,,,,,,0163-853X,1532-6950,,,,,2017,54,4,,,,,259,284,,10.1080/0163853X.2015.1131583,,,,,,,WOS:000401123800001,,,,,,Yes,German,,,,,texts,
J,"Gabriel, U; Behne, DM; Gygax, PM",,,,"Gabriel, Ute; Behne, Dawn M.; Gygax, Pascal M.",,,Speech vs. reading comprehension: an explorative study of gender representations in Norwegian,JOURNAL OF COGNITIVE PSYCHOLOGY,,,,,,,,,,,,"As research on the construction of a mental representation of referent gender in speech comprehension is scarce, this study examined whether factors identified in reading comprehension exert similar influence in speech comprehension. Conceptually replicating previous research, a sentence continuation evaluation task was set up in two modalities, as a listening task and as a time-confined reading task (i.e. to correspond to the time constraint when listening). In line with previous findings from self-paced reading paradigms we found gender representations in language comprehension to be grounded in the interaction between textual (grammatical) and background (stereotypical) information. Extending previous research, the effect of stereotypical information was however modulated by presentation modality. In all, although speech and reading comprehension share higher-level processes of comprehension, this study provides first evidence that differences in comprehension might occur due to differences such as orthographic access or attention allocation.",,,,"GABRIEL, Ute/AAB-9968-2019","Gabriel, Ute/0000-0001-6360-4969",,,,,,,,,,,,2044-5911,2044-592X,,,,,2017,29,7,,,,,795,808,,10.1080/20445911.2017.1326923,,,,,,,WOS:000414219500002,,,,,,No,,,,,,,
J,"Huck, A; Thompson, RL; Cruice, M; Marshall, J",,,,"Huck, Anneline; Thompson, Robin L.; Cruice, Madeline; Marshall, Jane",,,Effects of word frequency and contextual predictability on sentence reading in aphasia: an eye movement analysis,APHASIOLOGY,,,,,,,,,,,,"Background: Mild reading difficulties are a pervasive symptom of aphasia. While much research in aphasia has been devoted to the study of single word reading, little is known about the process of (silent) sentence reading. Reading research in the non-brain-damaged population has benefited from the use of eye-tracking methodology, allowing inferences on cognitive processing without participants making an articulatory response. This body of research identified two factors, which strongly influence reading at the sentence level: word frequency and contextual predictability (influence of context). Aims: The main aim of this study was to investigate whether word frequency and contextual predictability influence sentence reading by people with aphasia (PWA), in parallel to that of neurologically healthy individuals (NHI). A second aim was to examine whether readers with aphasia show individual differences in the effects, and whether these are related to their underlying language profile. Methods & Procedures: Seventeen PWA and associated mild reading difficulties and 20 NHI took part in this study. Individuals with aphasia completed a range of language assessments. For the eye-tracking experiment, participants silently read sentences that included target words varying in word frequency and predictability while their eye movements were recorded. Comprehension accuracy, fixation durations, and the probability of first-pass fixations and first-pass regressions were measured. Outcomes & Results: Eye movements by both groups were significantly influenced by word frequency and predictability, but the predictability effect was stronger for the PWA than the neurologically healthy participants. Additionally, effects of word frequency and predictability were independent for the NHI, but the individuals with aphasia showed a more interactive pattern. Correlational analyses revealed (i) a significant relationship between lexical-semantic impairments and the word frequency effect score and (ii) a marginally significant association between the sentence comprehension skills and the predictability effect score. Conclusions: Consistent with compensatory processing theories, these findings indicate that decreased reading efficiency may trigger a more interactive reading strategy that aims to compensate for poorer reading by putting more emphasis on a sentence context, particularly for low-frequency words. For those individuals who have difficulties applying the strategy automatically, using a sentence context could be a beneficial strategy to focus on in reading intervention.",,,,"Thompson, Robin/P-6915-2014","Thompson, Robin/0000-0001-5872-910X; Cruice, Madeline/0000-0001-7344-2262",,,,,,,,,,,,0268-7038,1464-5041,,,,,2017,31,11,,,,,1307,1332,,10.1080/02687038.2017.1278741,,,,,,,WOS:000416408200004,,,,,,Yes,English,,,,,sentences,aphasia vs controls
J,"Ma, GJ",,,,"Ma, Guojie",,,Does interword spacing influence lexical processing in Chinese reading?,VISUAL COGNITION,,,,,,,,,,,,"This study investigated how inserting spaces between Chinese words affected word recognition in Chinese reading. Eye movements of Chinese readers were recorded in a sentence reading task where high-and low-frequency target words were presented in both the spaced and normally unspaced texts. We found that fixation durations on target words were shorter in the high-than low-frequency conditions, and shorter in the spaced than unspaced conditions. The survival analysis revealed that interword spacing advanced the temporal onset of word frequency effects relative to the normally unspaced condition. However, inconsistent with the findings in English reading, there was no interaction between word frequency and interword spacing on all fixation duration measures, and the Bayes factor analyses also favoured the hypothesis of null interaction. These data suggest that interword spacing facilitates visual rather than lexical processing in Chinese reading, and thus improves our understanding on the roles of interword spacing across different writing systems.",,,,,"Ma, Guojie/0000-0002-3688-9118",,,,,,,,,,,,1350-6285,1464-0716,,,,,2017,25,07-אוג,,,,,815,824,,10.1080/13506285.2017.1338322,,,,,,,WOS:000423986400009,,,,,,Yes,Chinese,,,,,sentences,
J,"Hermena, EW; Liversedge, SP; Drieghe, D",,,,"Hermena, Ehab W.; Liversedge, Simon P.; Drieghe, Denis",,,Parafoveal Processing of Arabic Diacritical Marks,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,,,,,,,,,,,,"Diacritics are glyph-like marks on letters that convey vowel information in Arabic, thus allowing for accurate pronunciation and disambiguation of homographs. For skilled readers, diacritics are usually omitted except when their omission causes ambiguity. Undiacritized homographs are very common in Arabic and are predominantly heterophones (where each meaning sounds different), with 1 version more common (dominant) than the others (subordinate). In this study the authors investigated parafoveal processing of diacritics during reading. They presented native readers with heterophonic homographs embedded in sentences with diacritization that instantiated either dominant or subordinate pronunciations of the homographs. Using the boundary paradigm, they presented previews of these words carrying either: identical diacritization to the target; inaccurate diacritization, such that if the target had dominant diacritization, the preview contained subordinate diacritization, and vice versa; or no diacritics. The results showed that readers processed the identity of diacritics parafoveally, such that inaccurate previews of the diacritics resulted in inflated fixation durations, particularly for fixations originating at close launch sites. Moreover, our results clearly indicate that readers' expectation for dominant or subordinate diacritization patterns influences their parafoveal and foveal processing of diacritics. Specifically, a perceived absence of diacritics (either in no-diacritics previews, or because the eyes were too far away to process the presence of diacritics) induced an expectation for the dominant pronunciation, whereas the perceived presence of diacritics induced an expectation for the subordinate meaning.",,,,,,,,,,,,,,,,,0096-1523,1939-1277,,,,DEC,2016,42,12,,,,,2021,2038,,10.1037/xhp0000294,,,,,,,WOS:000388743400008,27732043,,,,,Yes,Arabic,,,,,sentences,gaze contingent
J,"Silva, S; Reis, A; Casaca, L; Petersson, KM; Faisca, L",,,,"Silva, Susana; Reis, Alexandra; Casaca, Luis; Petersson, Karl M.; Faisca, Luis",,,When the Eyes No Longer Lead: Familiarity and Length Effects on Eye-Voice Span,FRONTIERS IN PSYCHOLOGY,,,,,,,,,,,,"During oral reading, the eyes tend to be ahead of the voice (eye-voice span, EVS). It has been hypothesized that the extent to which this happens depends on the automaticity of reading processes, namely on the speed of print-to-sound conversion. We tested whether EVS is affected by another automaticity component - immunity from interference. To that end, we manipulated word familiarity (high-frequency, low-frequency, and pseudowords, PW) and word length as proxies of immunity from interference, and we used linear mixed effects models to measure the effects of both variables on the time interval at which readers do parallel processing by gazing at word N + 1 while not having articulated word N yet (offset EVS). Parallel processing was enhanced by automaticity, as shown by familiarity x length interactions on offset EVS, and it was impeded by lack of automaticity, as shown by the transformation of offset EVS into voice eye span (voice ahead of the offset of the eyes) in PWs. The relation between parallel processing and automaticity was strengthened by the fact that offset EVS predicted reading velocity. Our findings contribute to understand how the offset EVS, an index that is obtained in oral reading, may tap into different components of automaticity that underlie reading ability, oral or silent. In addition, we compared the duration of the offset EVS with the average reference duration of stages in word production, and we saw that the offset EVS may accommodate for more than the articulatory programming stage of word N.",,,,"Petersson, Karl Magnus/E-8188-2012; Faisca, Luis/A-4633-2013; Reis, Alexandra A I/A-3888-2013","Petersson, Karl Magnus/0000-0002-8245-0392; Faisca, Luis/0000-0003-4859-8817; Reis, Alexandra A I/0000-0001-5598-0999; Silva, Susana/0000-0003-2240-1828",,,,,,,,,,,,1664-1078,,,,,נוב-02,2016,7,,,,,,,,1720,10.3389/fpsyg.2016.01720,,,,,,,WOS:000386724900001,27853446,,,,,Yes,Portuguese,,,,,word lists,reading aloud
J,"Chen, C; Schneps, MH; Masyn, KE; Thomson, JM",,,,"Chen, Chen; Schneps, Matthew H.; Masyn, Katherine E.; Thomson, Jennifer M.",,,The Effects of Visual Attention Span and Phonological Decoding in Reading Comprehension in Dyslexia: A Path Analysis,DYSLEXIA,,,,,,,,,,,,"Increasing evidence has shown visual attention span to be a factor, distinct from phonological skills, that explains single-word identification (pseudo-word/word reading) performance in dyslexia. Yet, little is known about how well visual attention span explains text comprehension. Observing reading comprehension in a sample of 105 high school students with dyslexia, we used a pathway analysis to examine the direct and indirect path between visual attention span and reading comprehension while controlling for other factors such as phonological awareness, letter identification, short-term memory, IQ and age. Integrating phonemic decoding efficiency skills in the analytic model, this study aimed to disentangle how visual attention span and phonological skills work together in reading comprehension for readers with dyslexia. We found visual attention span to have a significant direct effect on more difficult reading comprehension but not on an easier level. It also had a significant direct effect on pseudo-word identification but not on word identification. In addition, we found that visual attention span indirectly explains reading comprehension through pseudo-word reading and word reading skills. This study supports the hypothesis that at least part of the dyslexic profile can be explained by visual attention abilities. Copyright (c) 2016 John Wiley & Sons, Ltd.",,,,,"Thomson, Jenny/0000-0002-4293-4851",,,,,,,,,,,,1076-9242,1099-0909,,,,NOV,2016,22,4,,,,,322,344,,10.1002/dys.1543,,,,,,,WOS:000387141300003,27739162,,,,,No,,,,,,,
J,"Orlov, PA; Bednarik, R",,,,"Orlov, Pavel A.; Bednarik, Roman",,,ScreenMasker: An Open-source Gaze-contingent Screen Masking Environment,BEHAVIOR RESEARCH METHODS,,,,,,,,,,,,"The moving-window paradigm, based on gazecontingent technic, traditionally used in a studies of the visual perceptual span. There is a strong demand for new environments that could be employed by non-technical researchers. We have developed an easy-to-use tool with a graphical user interface (GUI) allowing both execution and control of visual gaze-contingency studies. This work describes ScreenMasker, an environment that allows create gaze-contingent textured displays used together with stimuli presentation software. ScreenMasker has an architecture that meets the requirements of low-latency real-time eye-movement experiments. It also provides a variety of settings and functions. Effective rendering times and performance are ensured by means of GPU processing under CUDA technology. Performance tests show ScreenMasker's latency to be 67-74 ms on a typical office computer, and high-end 144-Hz screen latencies of about 25-28 ms. ScreenMasker is an open-source system distributed under the GNU Lesser General Public License and is available at https://github.com/PaulOrlov/ScreenMasker.",,,,"; Orlov, Pavel/K-8344-2018","Bednarik, Roman/0000-0003-1726-3520; Orlov, Pavel/0000-0001-6256-8134",,,,,,,,,,,,1554-351X,1554-3528,,,,SEP,2016,48,3,,,,,1145,1153,,10.3758/s13428-015-0635-7,,,,,,,WOS:000382653900025,26276516,,,,,No,,,,,,,
J,"Kwon, N; Sturt, P",,,,"Kwon, Nayoung; Sturt, Patrick",,,Attraction Effects in Honorific Agreement in Korean,FRONTIERS IN PSYCHOLOGY,,,,,,,,,,,,"Previous studies have suggested that sentence processing is mediated by content-addressable direct retrieval processes (McElree, 2000; McElree et al., 2003). However, the memory retrieval processes may differ as a function of the type of dependency. For example, while many studies have reported facilitatory intrusion effects associated with a structurally illicit antecedent during the processing of subject-verb number or person agreement and negative polarity items (Pearlmutter et al., 1999; Xiang et al., 2009; Dillon et al., 2013), studies investigating reflexives have not found consistent evidence of intrusion effects (Parker et al., 2015; Sturt and Kwon, 2015: cf. Nicol and Swinney, 1989; Sturt, 2003). Similarly, the memory retrieval processes could be also sensitive to cross-linguistic differences (cf. Lago et al., 2015). We report one self-paced reading experiment and one eye tracking experiment that examine the processing of subject-verb honorific agreement, a dependency that is different from those that have been studied to date, in Korean, a typologically different language from those previously studied. The overall results suggest that the retrieval processes underlying the processing of subject-verb honorific agreement in Korean are susceptible to facilitatory intrusion effects from a structurally illicit but feature-matching subject, with a pattern that is similar to subject-verb agreement in English. In addition, the attraction effect was not limited to the ungrammatical sentences but was also found in grammatical sentences. The clear attraction effect in the grammatical sentences suggest that the attraction effect does not solely arise as the result of an error-driven process (cf. Wagers et al., 2009), but is likely also to result from general mechanisms of retrieval processes of activating of potential items in memory (Vasishth et al., 2008).",,,,"Sturt, Patrick/E-8496-2010","Sturt, Patrick/0000-0002-2055-6933",,,,,,,,,,,,1664-1078,,,,,אוג-31,2016,7,,,,,,,,1302,10.3389/fphyg.2016.01302,,,,,,,WOS:000382288100001,27630594,,,,,Yes,Korean,,,,,sentences,
J,"Humphreys, GF; Mirkovic, J; Gennari, SP",,,,"Humphreys, Gina F.; Mirkovic, Jelena; Gennari, Silvia P.",,,Similarity-based competition in relative clause production and comprehension,JOURNAL OF MEMORY AND LANGUAGE,,,,,,,,,,,,"This work investigates the role of semantic similarity in sentence production and comprehension. Previous research suggests that animacy and conceptual similarity of the noun concepts within complex descriptive phrases modulate structural preferences in production, and processing cost in comprehension. For example, animate-head phrases such as the girl that the boy is pulling are rare in production and more difficult to understand in comprehension. In contrast, phrases with passive clauses such as the girl being pulled by the boy are commonly produced and more easily understood, as are inanimate-head structures such as the truck the boy is pulling. In three picture-based studies, we examined the mechanisms underlying semantic similarity effects in producing and comprehending these phrases. Study 1 investigated structural preferences in production, whereas Study 2 investigated processing cost in comprehension. Study 3 used eye-tracking to examine the time-course of production processes. The results showed that semantic similarity elicited competition during phrase planning, influenced the choice of syntactic structure in production, and engendered comprehension difficulty in animate-head active configurations. Structural preferences, fixation probabilities reflecting production planning processes and comprehension cost significantly correlated with measures of conceptual similarity across the three studies. We argue that similarity-based competition modulates sentence production and comprehension processes when verbs are planned or interpreted, i.e., when event-based semantic or syntactic roles are determined. In addition to task specific processes, we suggest that a similar and shared semantic competition mechanism underlies both production and comprehension, a view consistent with existing evidence for common brain regions recruited in both tasks. (C) 2016 Elsevier Inc. All rights reserved.",,,,,"Humphreys, Gina/0000-0002-4157-3409",,,,,,,,,,,,0749-596X,1096-0821,,,,AUG,2016,89,,,,SI,,200,221,,10.1016/j.jml.2015.12.007,,,,,,,WOS:000376705800012,,,,,,No,,,,,,,
J,"Kwon, N; Sturt, P",,,,"Kwon, Nayoung; Sturt, Patrick",,,Processing Control Information in a Nominal Control Construction: An Eye-Tracking Study,JOURNAL OF PSYCHOLINGUISTIC RESEARCH,,,,,,,,,,,,"In an eye-tracking experiment, we examined the processing of the nominal control construction. Participants' eye-movements were monitored while they read sentences that included either giver control nominals (e.g. promise in Luke's promise to Sophia to photograph himself) or recipient control nominals (e.g. plea in Luke's plea to Sophia to photograph herself). In order to examine both the initial access of control information, and its later use in on-line processing, we combined a manipulation of nominal control with a gender match/mismatch paradigm. Results showed that there was evidence of processing difficulty for giver control sentences (relative to recipient control sentences) at the point where the control dependency was initially created, suggesting that control information was accessed during the early parsing stages. This effect is attributed to a recency preference in the formation of control dependencies; the parser prefers to assign a recent antecedent to PRO. In addition, readers slowed down after reading a reflexive pronoun that mismatched with the gender of the antecedent indicated by the control nominal (e.g. Luke's promise to Sophia to photograph herself). The mismatch cost suggests that control information of the nominal control construction was used to constrain dependency formation involving a controller, PRO and a reflexive, confirming the use of control information in on-line interpretation.",,,,"Sturt, Patrick/E-8496-2010","Sturt, Patrick/0000-0002-2055-6933",,,,,,,,,,,,0090-6905,1573-6555,,,,AUG,2016,45,4,,,,,779,793,,10.1007/s10936-015-9374-2,,,,,,,WOS:000379529200002,25980968,,,,,Yes,English,,,,,sentences,
J,"Zhou, PY; Christianson, K",,,,"Zhou, Peiyun; Christianson, Kiel",,,Auditory perceptual simulation: Simulating speech rates or accents?,ACTA PSYCHOLOGICA,,,,,,,,,,,,"When readers engage in Auditory Perceptual Simulation (APS) during silent reading, they mentally simulate characteristics of voices attributed to a particular speaker or a character depicted in the text. Previous research found that auditory perceptual simulation of a faster native English speaker during silent reading led to shorter reading times that auditory perceptual simulation of a slower non-native English speaker. Yet, it was uncertain whether this difference was triggered by the different speech rates of the speakers, or by the difficulty of simulating an unfamiliar accent. The current study investigates this question by comparing faster Indian-English speech and slower American-English speech in the auditory perceptual simulation paradigm. Analyses of reading times of individual words and the full sentence reveal that the auditory perceptual simulation effect again modulated reading rate, and auditory perceptual simulation of the faster Indian-English speech led to faster reading rates compared to auditory perceptual simulation of the slower American-English speech. The comparison between this experiment and the data from Zhou and Christianson (2016) demonstrate further that the ""speakers' speech rates, rather than the difficulty of simulating a non-native accent, is the primary mechanism underlying auditory perceptual simulation effects. (C) 2016 Elsevier B.V. All rights reserved.",,,,"Zhou, Peiyun/K-4784-2019","Zhou, Peiyun/0000-0003-2822-2687",,,,,,,,,,,,0001-6918,1873-6297,,,,JUL,2016,168,,,,,,85,90,,10.1016/j.actpsy.2016.04.005,,,,,,,WOS:000379365100009,27177077,,,,,No,,,,,,,
J,"Kruger, H",,,,"Kruger, Haidee",,,WHAT'S HAPPENING WHEN NOTHING'S HAPPENING? COMBINING EYETRACKING AND KEYLOGGING TO EXPLORE COGNITIVE PROCESSING DURING PAUSES IN TRANSLATION PRODUCTION,ACROSS LANGUAGES AND CULTURES,,,,,,,,,,,,"This article investigates whether a combination of eyetracking and keylogging can yield a better understanding of the cognitive processing that occurs during pauses in translation production. It analyses the interaction between a number of temporal and spatial variables associated with pausing (including pause duration, the syntactic location of the pause and reading behaviour during the pause). Eight third-year students of translation, translating from English to Afrikaans, translated a 180-word text while their keystrokes and eye movements were recorded. Pauses were defined by means of a predetermined cut-off point, and coded for the temporal and spatial variables above. The relationships between these variables form the focus of the analysis. The findings of the study point to a complex relationship between pause duration, the syntactic position of the pause, syntactic asymmetries between the languages involved, reading behaviour and cognitive effort.",,,,,"Kotze, Haidee/0000-0002-5721-0733",,,,,,,,,,,,1585-1923,1588-2519,,,,JUN,2016,17,1,,,,,25,52,,10.1556/084.2016.17.1.2,,,,,,,WOS:000377218300002,,,,,,No,,,,,,,
J,"Rodriguez, DD; Buetler, KA; Eggenberger, N; Laganaro, M; Nyffeler, T; Annoni, JM; Muri, RM",,,,"Rodriguez, Diego de Leon; Buetler, Karin A.; Eggenberger, Noemi; Laganaro, Marina; Nyffeler, Thomas; Annoni, Jean-Marie; Muri, Rene M.",,,The Impact of Language Opacity and Proficiency on Reading Strategies in Bilinguals: An Eye Movement Study,FRONTIERS IN PSYCHOLOGY,,,,,,,,,,,,"Reading strategies vary across languages according to orthographic depth - the complexity of the grapheme in relation to phoneme conversion rules - notably at the level of eye movement patterns. We recently demonstrated that a group of early bilinguals, who learned both languages equally under the age of seven, presented a first fixation location (FFL) closer to the beginning of words when reading in German as compared with French. Since German is known to be orthographically more transparent than French, this suggested that different strategies were being engaged depending on the orthographic depth of the used language. Opaque languages induce a global reading strategy, and transparent languages force a local/serial strategy. Thus, pseudo words were processed using a local strategy in both languages, suggesting that the link between word forms and their lexical representation may also play a role in selecting a specific strategy. In order to test whether corresponding effects appear in late bilinguals with low proficiency in their second language (L2), we present a new study in which we recorded eye movements while two groups of late German-French and French-German bilinguals read aloud isolated French and German words and pseudo-words. Since, a transparent reading strategy is local and serial, with a high number of fixations per stimuli, and the level of the bilingual participants' L2 is low, the impact of language opacity should be observed in L1. We therefore predicted a global reading strategy if the bilinguals' was French (FFL close to the middle of the stimuli with fewer fixations per stimuli) and a local and serial reading strategy if it was German. Thus, the L2 of each group, as well as pseudo-words, should also require a local and serial reading strategy. Our results confirmed these hypotheses, suggesting that global word processing is only achieved by bilinguals with an opaque when reading in an opaque language; the low level in the L2 gives way to a local and serial reading strategy. These findings stress the fact that reading behavior is influenced not only by the linguistic mode but also by top-down factors, such as readers' proficiency.",,,,"Muri, Rene/E-9320-2012","Muri, Rene/0000-0001-6990-4188; Laganaro, Marina/0000-0002-4054-0939",,,,,,,,,,,,1664-1078,,,,,מאי-06,2016,7,,,,,,,,649,10.3389/fpsyg.2016.00649,,,,,,,WOS:000375381200001,27199870,,,,,Yes,German,French,,,within,single words,"L1 vs L2, biderctional; reading aloud"
